weather_id,airport_id,date_time,temperature,precipitation,wind_speed,visibility,conditions
215,48,1/7/2023 10:49,31.79,0.52,48.31,9.98,Thunderstorm
216,1,6/20/2023 9:02,5.43,3.78,3.77,6.36,Clear
217,49,8/31/2023 14:20,24.78,2.67,9.64,4.83,Cloudy
218,35,12/12/2023 21:59,3.29,3.79,13.13,0.68,Snowy
219,28,3/11/2023 1:54,25.84,2.98,33.14,6.56,Snowy
220,26,1/17/2023 15:41,4.15,3.63,32.67,6.65,Cloudy
221,49,7/26/2023 19:53,-2.22,1.58,17.55,7.29,Cloudy
222,17,12/11/2023 16:23,22.65,2.21,43.21,0.43,Cloudy
223,48,2/4/2023 23:19,38.84,2.52,14.51,7.55,Cloudy
224,42,9/27/2023 12:00,12.08,1.94,45.66,5.46,Cloudy
225,11,5/18/2023 4:01,16.23,3.53,22.79,2.65,Cloudy
226,21,2/5/2023 14:52,11.74,1.17,27.92,2.06,Snowy
227,23,3/5/2023 7:33,21.59,3.93,25.78,4.6,Rainy
228,10,1/28/2023 11:15,-6.75,1.03,34.78,2.69,Thunderstorm
229,27,4/4/2023 6:24,1.09,0.21,14.81,9.03,Thunderstorm
230,17,7/29/2023 23:59,26.57,2.8,39.08,1.81,Cloudy
231,24,2/21/2023 16:40,-2.35,4.66,36.36,5.02,Clear
232,33,9/24/2023 11:31,36.09,0.36,33.96,8.09,Clear
233,19,9/22/2023 12:26,10.71,4.78,48.01,5.5,Rainy
234,30,3/11/2023 23:44,-1.77,4.8,14.5,8.47,Thunderstorm
235,33,7/13/2023 14:00,13.25,3.88,49.96,1.08,Cloudy
236,17,1/13/2023 1:16,18.11,1.26,2.64,9.61,Clear
237,4,5/10/2023 16:36,21.86,3.88,3.13,6.08,Snowy
238,40,9/21/2023 16:09,22.54,4.66,48.15,3.24,Snowy
239,41,9/22/2023 12:42,2.87,2.49,8.79,4.21,Rainy
240,15,2/10/2023 12:30,19.76,2.93,19.68,4.77,Rainy
241,17,8/1/2023 13:00,12.31,1.46,2.33,4.84,Snowy
242,45,12/14/2023 21:42,28.64,1.51,17.45,3.43,Clear
243,13,9/19/2023 20:05,-5.12,3.07,3.05,2.11,Cloudy
244,42,5/22/2023 2:18,29.43,3.73,38.64,5.78,Rainy
245,20,8/6/2023 20:03,5.95,4.44,11.68,5.16,Rainy
246,21,10/25/2023 20:07,31.46,4.86,48.07,6.09,Cloudy
247,35,5/19/2023 15:45,27.93,2.64,49.35,9.52,Thunderstorm
248,45,11/16/2023 6:01,16.1,2.88,32.96,2.53,Rainy
249,44,7/18/2023 13:57,37.04,1.83,4.08,9.61,Rainy
250,25,2/2/2023 3:45,25.04,0.47,47.38,9.52,Snowy
251,45,12/23/2023 21:51,9.54,1.68,25.34,9.04,Snowy
252,11,12/21/2023 18:35,22.39,1.5,30.52,4.24,Snowy
253,4,1/12/2023 6:57,31.83,0.38,1.96,5.27,Rainy
254,49,3/31/2023 5:29,23.1,2.56,36.54,2.21,Clear
255,15,6/9/2023 11:28,16.29,4.63,30.45,6.47,Thunderstorm
256,12,8/12/2023 2:04,31.75,4.95,31.62,0.42,Cloudy
257,31,12/11/2023 18:37,-3.76,3.67,39.65,5.36,Rainy
258,30,9/21/2023 22:27,-8.79,1.79,25.71,5.14,Snowy
259,41,11/4/2023 10:06,6.15,4.6,31.74,9.7,Clear
260,32,11/3/2023 13:49,32.1,3.27,40.53,4.49,Rainy
261,9,1/22/2023 10:02,13.67,5,20,4.85,Rainy
262,45,8/3/2023 0:15,14.9,0.27,2.3,5.34,Snowy
263,7,11/4/2023 12:15,-8.1,1.09,23.65,4.68,Cloudy
264,25,4/2/2023 11:54,13.31,4.55,36.82,7.31,Thunderstorm
265,11,9/17/2023 23:45,29.73,4.4,40.06,4.73,Cloudy
266,34,7/12/2023 9:11,36.93,3.04,29.26,3.51,Clear
267,12,9/25/2023 19:01,7.36,4.07,39.96,2.59,Clear
268,23,7/29/2023 21:01,3.18,4.44,45.41,2.83,Snowy
269,17,12/15/2023 14:47,12.68,1.87,22.39,3.43,Cloudy
270,45,9/29/2023 11:20,1.12,3.87,31.55,8.59,Thunderstorm
271,21,8/18/2023 10:45,32.89,3.13,22.7,1.3,Cloudy
272,11,6/22/2023 16:00,17.94,4.79,31.17,5.91,Cloudy
273,40,3/23/2023 4:17,19.54,3.12,33.57,9.05,Rainy
274,49,6/19/2023 16:34,15.99,1.69,44.76,9.44,Snowy
275,10,5/13/2023 16:27,6.8,4.02,19.34,0.29,Thunderstorm
276,48,8/16/2023 19:06,21.24,2.74,29.62,6.21,Cloudy
277,4,8/13/2023 19:55,0.98,3.52,33,0.05,Clear
278,45,4/13/2023 5:52,13.48,1.63,0.26,7.11,Rainy
279,26,4/17/2023 5:13,21.12,4.4,43.88,9.79,Snowy
280,21,11/12/2023 16:23,9.1,0.52,14.58,8.03,Clear
281,42,8/18/2023 1:59,10.57,2.96,37.86,3.85,Rainy
282,30,3/23/2023 8:58,26.98,4.09,31.57,0.15,Cloudy
283,31,7/7/2023 6:55,27.81,3.01,48.23,5.98,Snowy
284,37,4/4/2023 13:52,15.62,1.64,29.78,8.02,Clear
285,41,2/26/2023 19:43,26.76,4.84,33.18,1.07,Rainy
286,31,8/30/2023 18:56,26.98,0.98,40.24,2.79,Snowy
287,31,5/1/2023 4:55,16.1,2.21,19.19,3.14,Thunderstorm
288,4,10/2/2023 9:50,20.59,1.1,17.93,6.99,Thunderstorm
289,7,4/18/2023 3:09,3,4.61,11.07,0.03,Rainy
290,3,5/31/2023 21:12,28.96,2.72,29.68,5.32,Thunderstorm
291,30,12/16/2023 9:22,9.16,0.96,9.54,3.96,Thunderstorm
292,36,6/1/2023 9:31,32.41,1.63,36.06,8.41,Rainy
293,9,9/19/2023 17:43,30.56,1.49,3.06,7.3,Snowy
294,6,9/26/2023 15:36,17.75,0.34,16.28,7.48,Thunderstorm
295,8,6/5/2023 20:09,37.55,0.52,37.77,0.7,Rainy
296,17,1/27/2023 8:51,-9.98,1.27,49.93,5.03,Cloudy
297,31,12/18/2023 16:46,-10,0.88,5.1,4.75,Thunderstorm
298,40,11/23/2023 2:02,24.18,2.73,44.13,1.27,Cloudy
299,45,11/9/2023 19:16,-4.15,0.01,7.63,3.17,Snowy
300,23,4/9/2023 2:22,-9.28,2.42,45.11,4.05,Rainy
301,29,12/23/2023 10:53,9.29,1.79,41.34,0.01,Thunderstorm
302,19,8/17/2023 15:13,-6.4,3.05,14.49,1.65,Clear
303,11,4/6/2023 15:17,18.96,3.88,33.29,0.79,Clear
304,13,9/13/2023 6:50,5.22,2.02,2.72,6.06,Snowy
305,31,12/28/2023 14:43,11.23,1.17,49.53,7.25,Rainy
306,2,8/9/2023 6:23,6.3,2.37,39.88,9.44,Snowy
307,41,7/5/2023 18:05,21.5,0.26,18.57,9.78,Clear
308,34,7/17/2023 6:40,1.92,2.31,21.95,2.35,Cloudy
309,26,9/6/2023 16:37,11.9,2.89,7.44,5.22,Cloudy
310,33,4/14/2023 20:14,34.11,0.85,31.52,1.86,Rainy
311,28,1/19/2023 8:51,9.05,3.6,10.23,3.07,Snowy
312,50,1/26/2023 12:07,-0.53,0.97,30.09,2.47,Thunderstorm
313,21,9/24/2023 18:00,4.08,0.12,48.49,7.56,Cloudy
314,12,6/28/2023 22:54,25.87,4.65,22.9,9.56,Rainy
315,27,10/26/2023 11:24,20.09,0.93,42.93,0.71,Thunderstorm
316,19,9/14/2023 8:20,4.56,3.14,17.87,5.91,Cloudy
317,50,5/9/2023 22:11,14.59,2.55,14.16,3.45,Thunderstorm
318,18,9/6/2023 8:02,36.98,0.2,1.57,2.94,Clear
319,10,10/17/2023 5:45,39.71,4.71,27.7,6.6,Rainy
320,6,3/1/2023 11:43,28.28,1.09,5.3,7,Rainy
321,1,4/11/2023 16:25,21.95,1.36,47.67,8.29,Thunderstorm
322,44,4/29/2023 8:53,9.51,0.75,29.13,1.89,Rainy
323,28,5/22/2023 7:30,28.01,0.27,49.63,5.86,Rainy
324,8,11/3/2023 9:09,26.88,2.13,3.86,0.59,Thunderstorm
325,17,1/25/2023 19:42,-4.34,3.1,44.36,8.33,Cloudy
326,2,3/14/2023 3:06,25.65,1.64,17.76,0.02,Snowy
327,22,10/27/2023 15:41,14.69,0.99,11.36,2.55,Rainy
328,13,2/15/2023 17:40,-2.49,2.99,21.3,0.29,Thunderstorm
329,21,6/30/2023 23:55,13.19,2.48,26.71,5.83,Rainy
330,27,3/30/2023 18:51,-2.47,0,16.59,3.29,Cloudy
331,22,7/27/2023 7:28,36.31,3.08,3.05,1.35,Clear
332,24,11/6/2023 22:18,8.15,3.81,23.36,9.59,Rainy
333,16,10/9/2023 7:51,-1.24,3.3,14.07,5.57,Rainy
334,33,6/28/2023 18:16,-4.84,2.22,4.19,7.83,Cloudy
335,37,5/4/2023 11:05,3.22,4.97,39.27,7.2,Rainy
336,42,1/31/2023 20:08,34.02,4.9,4.35,5.38,Cloudy
337,28,10/13/2023 17:52,20.63,2.83,3,8.91,Snowy
338,49,10/22/2023 12:16,29.83,3.84,13.55,3.22,Clear
339,33,8/4/2023 15:22,5.7,3.33,27.28,9.61,Thunderstorm
340,41,1/15/2023 4:28,32.05,2.49,16.56,7.13,Cloudy
341,35,12/3/2023 10:56,33.89,3.4,14.13,9.17,Snowy
342,48,8/24/2023 10:00,24.12,4.08,13.53,4.55,Cloudy
343,46,6/1/2023 5:41,32.5,1.66,23.18,1.13,Thunderstorm
344,36,5/12/2023 10:20,38.89,0.72,28.73,4.07,Snowy
345,15,10/2/2023 11:25,35.39,3.29,18.34,5.17,Snowy
346,41,4/4/2023 21:47,33.82,3.44,14.08,0.11,Snowy
347,31,7/16/2023 0:04,9.59,3.87,10.99,1.86,Clear
348,38,12/24/2023 16:12,-2.35,0.66,41.39,9.68,Clear
349,4,5/22/2023 20:57,4.73,1.18,40.82,5.82,Thunderstorm
350,29,6/21/2023 23:16,5.81,2.18,33.52,5.19,Thunderstorm
351,46,7/11/2023 18:56,34.38,3.89,38.04,4.06,Thunderstorm
352,10,10/31/2023 10:52,-2.61,0.18,29.58,8.49,Snowy
353,29,11/26/2023 12:15,8.6,0.92,22.01,3.61,Cloudy
354,44,2/6/2023 14:31,32.39,2.97,25.42,4.23,Rainy
355,26,7/14/2023 11:48,34.44,3.61,49.91,3.68,Rainy
356,12,10/13/2023 0:33,0.98,4.54,3.15,4.09,Rainy
357,1,4/29/2023 19:20,4.81,3.5,22.33,6.44,Snowy
358,45,10/27/2023 12:42,19.44,3.36,29.81,6.74,Thunderstorm
359,40,3/2/2023 10:05,2.8,1.49,18.45,3.09,Rainy
360,45,10/28/2023 4:06,37.4,1.75,48.39,1.97,Rainy
361,34,7/7/2023 14:06,2.28,3.87,6.51,1.57,Clear
362,21,11/14/2023 20:00,25.05,4.88,33.9,9.32,Snowy
363,20,5/31/2023 4:20,20.16,4.27,7.81,8.36,Cloudy
364,34,3/28/2023 8:21,-0.85,2.27,8.67,6.85,Rainy
365,41,9/9/2023 20:46,37.74,0.2,12.25,6.06,Snowy
366,29,10/30/2023 14:51,25.95,3.43,38.42,5.46,Cloudy
367,35,5/14/2023 18:44,4.07,1.67,18.81,4.76,Cloudy
368,2,4/23/2023 12:41,-1.1,0.02,31.49,4.7,Snowy
369,16,7/13/2023 3:31,33,3.4,17.31,3,Rainy
370,39,11/7/2023 11:40,35.61,4.48,3.8,6.37,Snowy
371,6,4/28/2023 0:46,37.46,1.96,34.27,0.64,Clear
372,41,12/24/2023 15:10,33.71,0.47,44.5,9.77,Cloudy
373,21,11/14/2023 5:36,28.33,1.64,21.83,4.16,Cloudy
374,42,7/2/2023 23:18,9.56,0.45,28.96,5.34,Clear
375,11,6/17/2023 22:33,25.21,2.04,16.35,9.65,Cloudy
376,9,10/6/2023 11:04,27.08,3.27,49.23,9.87,Rainy
377,17,3/29/2023 20:24,-8.48,0.07,15.86,3.74,Clear
378,4,6/20/2023 7:06,-4.92,1.99,5.42,4.74,Rainy
379,32,7/3/2023 21:35,37.22,3.54,4.11,4.59,Snowy
