flight_id,airline_id,route_id,flight_number,scheduled_departure_date,scheduled_departure_time,scheduled_arrival_date,scheduled_arrival_time,actual_departure_date,actual_departure_time,actual_arrival_date,actual_arrival_time,scheduled_journey_time,actual_journey_time,flight_status,delay_minutes,delay_reasons,cancellation_reason
12,2,401,AA4096,18-Aug-23,16:10:00,18-Aug-23,22:32:00,18-Aug-23,18:35:00,19-Aug-23,0:57:00,382,527,Delayed,145,"Airline Operations, Air Traffic Control, Airline Operations",
13,11,90,PY7686,23-Sep-23,17:43:00,23-Sep-23,22:27:00,23-Sep-23,17:43:00,23-Sep-23,22:27:00,284,284,On Time,0,,
14,14,499,TZ3823,23-Mar-23,0:28:00,23-Mar-23,3:19:00,23-Mar-23,0:28:00,23-Mar-23,3:19:00,171,171,On Time,0,,
15,11,239,PY5960,2-Aug-23,0:09:00,2-Aug-23,4:19:00,2-Aug-23,0:09:00,2-Aug-23,4:19:00,250,250,On Time,0,,
16,4,446,WN2876,24-May-23,13:01:00,24-May-23,22:47:00,24-May-23,13:01:00,24-May-23,22:47:00,586,586,On Time,0,,
17,2,23,AA6151,8-May-23,23:13:00,9-May-23,6:51:00,,,,,458,0,Diverted,187,,
18,13,285,OI6611,19-Mar-23,22:06:00,20-Mar-23,4:36:00,19-Mar-23,22:06:00,20-Mar-23,4:36:00,390,390,On Time,0,,
19,1,170,DL247,1-Jul-23,2:21:00,1-Jul-23,5:55:00,1-Jul-23,2:21:00,1-Jul-23,5:55:00,214,214,On Time,0,,
20,11,440,PY2561,18-Jul-23,23:25:00,19-Jul-23,5:09:00,18-Jul-23,23:50:00,19-Jul-23,5:34:00,344,369,Delayed,25,Security,
21,7,277,NK693,11-Mar-23,8:21:00,11-Mar-23,12:41:00,,,,,260,0,Cancelled,0,,Technical
22,3,244,UA569,22-Jun-23,3:28:00,22-Jun-23,6:15:00,22-Jun-23,3:28:00,22-Jun-23,6:15:00,167,167,On Time,0,,
23,15,229,UL6945,16-Aug-23,19:17:00,16-Aug-23,20:27:00,16-Aug-23,19:17:00,16-Aug-23,20:27:00,70,70,On Time,0,,
24,15,113,UL5812,2-May-23,2:06:00,2-May-23,5:13:00,2-May-23,5:40:00,2-May-23,8:47:00,187,401,Delayed,214,"Airline Operations, Technical, Airline Operations, Security",
25,3,254,UA3865,21-May-23,4:17:00,21-May-23,9:25:00,21-May-23,4:17:00,21-May-23,9:25:00,308,308,On Time,0,,
26,1,113,DL6032,1-Jan-23,13:28:00,1-Jan-23,19:59:00,1-Jan-23,13:28:00,1-Jan-23,19:59:00,391,391,On Time,0,,
27,10,457,G48454,3-Dec-23,5:26:00,3-Dec-23,8:20:00,,,,,174,0,Cancelled,0,,Weather
28,9,151,HA8443,22-May-23,9:38:00,22-May-23,15:11:00,22-May-23,10:42:00,22-May-23,16:15:00,333,397,Delayed,64,Airline Operations,
29,15,9,UL8778,12-Dec-23,7:23:00,12-Dec-23,9:40:00,12-Dec-23,7:23:00,12-Dec-23,9:40:00,137,137,On Time,0,,
30,8,399,F94448,18-Oct-23,4:17:00,18-Oct-23,5:16:00,18-Oct-23,4:17:00,18-Oct-23,5:16:00,59,59,On Time,0,,
31,10,259,G44663,9-Jul-23,1:07:00,9-Jul-23,6:45:00,9-Jul-23,1:07:00,9-Jul-23,6:45:00,338,338,On Time,0,,
32,4,300,WN4883,22-Nov-23,17:02:00,23-Nov-23,2:14:00,22-Nov-23,17:02:00,23-Nov-23,2:14:00,552,552,On Time,0,,
33,11,324,PY7140,10-Jan-23,1:51:00,10-Jan-23,7:29:00,10-Jan-23,1:51:00,10-Jan-23,7:29:00,338,338,On Time,0,,
34,9,355,HA6195,19-Jun-23,22:08:00,20-Jun-23,0:21:00,19-Jun-23,22:08:00,20-Jun-23,0:21:00,133,133,On Time,0,,
35,15,473,UL9302,18-Sep-23,16:34:00,19-Sep-23,0:53:00,18-Sep-23,16:34:00,19-Sep-23,0:53:00,499,499,On Time,0,,
36,12,227,EF6077,18-Jan-23,7:06:00,18-Jan-23,11:49:00,18-Jan-23,7:06:00,18-Jan-23,11:49:00,283,283,On Time,0,,
37,9,117,HA1641,15-May-23,12:13:00,15-May-23,20:42:00,,,,,509,0,Cancelled,0,,Operational
38,9,89,HA2920,16-Nov-23,1:14:00,16-Nov-23,5:49:00,16-Nov-23,1:14:00,16-Nov-23,5:49:00,275,275,On Time,0,,
39,8,372,F9251,24-Sep-23,14:34:00,24-Sep-23,23:11:00,24-Sep-23,14:34:00,24-Sep-23,23:11:00,517,517,On Time,0,,
40,15,466,UL129,8-Aug-23,22:39:00,9-Aug-23,6:46:00,8-Aug-23,22:39:00,9-Aug-23,6:46:00,487,487,On Time,0,,
41,14,26,TZ1713,1-Jun-23,16:38:00,1-Jun-23,23:36:00,,,,,418,0,Cancelled,0,,Technical
42,14,152,TZ6267,4-May-23,14:31:00,4-May-23,16:16:00,4-May-23,14:31:00,4-May-23,16:16:00,105,105,On Time,0,,
43,5,169,B6999,7-Dec-23,22:23:00,8-Dec-23,1:28:00,7-Dec-23,22:23:00,8-Dec-23,1:28:00,185,185,On Time,0,,
44,1,469,DL4835,23-Nov-23,5:15:00,23-Nov-23,11:23:00,23-Nov-23,5:15:00,23-Nov-23,11:23:00,368,368,On Time,0,,
45,10,44,G47619,4-Dec-23,17:54:00,4-Dec-23,23:10:00,4-Dec-23,17:54:00,4-Dec-23,23:10:00,316,316,On Time,0,,
46,15,378,UL1060,24-May-23,3:47:00,24-May-23,13:11:00,24-May-23,3:47:00,24-May-23,13:11:00,564,564,On Time,0,,
47,12,344,EF9307,12-Nov-23,16:18:00,12-Nov-23,22:11:00,12-Nov-23,16:18:00,12-Nov-23,22:11:00,353,353,On Time,0,,
48,12,149,EF770,10-Mar-23,17:44:00,11-Mar-23,2:11:00,10-Mar-23,17:44:00,11-Mar-23,2:11:00,507,507,On Time,0,,
49,10,432,G46327,15-Jul-23,11:08:00,15-Jul-23,17:17:00,15-Jul-23,13:35:00,15-Jul-23,19:44:00,369,516,Delayed,147,Technical,
50,15,359,UL1676,2-Jul-23,7:04:00,2-Jul-23,15:25:00,2-Jul-23,10:38:00,2-Jul-23,18:59:00,501,715,Delayed,214,"Weather, Air Traffic Control, Weather",
51,9,272,HA6727,28-May-23,9:58:00,28-May-23,16:21:00,,,,,383,0,Cancelled,0,,Weather
52,15,192,UL4338,5-Aug-23,20:42:00,6-Aug-23,0:01:00,5-Aug-23,20:42:00,6-Aug-23,0:01:00,199,199,On Time,0,,
53,13,252,OI3643,29-Jan-23,19:54:00,29-Jan-23,23:01:00,,,,,187,0,Cancelled,0,,Technical
54,2,373,AA3202,12-Mar-23,11:19:00,12-Mar-23,12:46:00,12-Mar-23,11:19:00,12-Mar-23,12:46:00,87,87,On Time,0,,
55,8,467,F96775,21-Jul-23,21:46:00,22-Jul-23,2:42:00,22-Jul-23,0:01:00,22-Jul-23,4:57:00,296,431,Delayed,135,"Airline Operations, Air Traffic Control",
56,4,325,WN3998,5-Apr-23,15:43:00,6-Apr-23,1:39:00,5-Apr-23,15:43:00,6-Apr-23,1:39:00,596,596,On Time,0,,
57,9,43,HA633,22-Mar-23,23:35:00,23-Mar-23,5:29:00,22-Mar-23,23:35:00,23-Mar-23,5:29:00,354,354,On Time,0,,
58,12,335,EF7611,3-Aug-23,18:46:00,3-Aug-23,19:52:00,3-Aug-23,18:46:00,3-Aug-23,19:52:00,66,66,On Time,0,,
59,1,230,DL6227,6-Nov-23,4:24:00,6-Nov-23,14:23:00,6-Nov-23,4:24:00,6-Nov-23,14:23:00,599,599,On Time,0,,
60,13,75,OI804,30-Apr-23,21:17:00,1-May-23,2:32:00,,,,,315,0,Cancelled,0,,Technical
61,12,149,EF9762,3-Mar-23,4:47:00,3-Mar-23,7:26:00,3-Mar-23,4:47:00,3-Mar-23,7:26:00,159,159,On Time,0,,
62,3,471,UA1570,16-Feb-23,0:50:00,16-Feb-23,2:49:00,16-Feb-23,0:50:00,16-Feb-23,2:49:00,119,119,On Time,0,,
63,6,465,AS8074,21-Dec-23,22:47:00,22-Dec-23,0:13:00,,,,,86,0,Diverted,169,,
64,2,89,AA7210,11-Mar-23,1:09:00,11-Mar-23,3:34:00,11-Mar-23,1:45:00,11-Mar-23,4:10:00,145,181,Delayed,36,"Security, Air Traffic Control, Security, Airline Operations, Airline Operations",
65,12,416,EF5959,29-Dec-23,1:58:00,29-Dec-23,6:20:00,29-Dec-23,1:58:00,29-Dec-23,6:20:00,262,262,On Time,0,,
66,11,32,PY2164,3-Dec-23,8:34:00,3-Dec-23,12:35:00,3-Dec-23,11:29:00,3-Dec-23,15:30:00,241,416,Delayed,175,"Security, Airline Operations, Weather, Weather",
67,3,172,UA1363,12-Nov-23,7:35:00,12-Nov-23,14:55:00,12-Nov-23,7:35:00,12-Nov-23,14:55:00,440,440,On Time,0,,
68,9,266,HA8467,18-Jul-23,3:08:00,18-Jul-23,8:09:00,18-Jul-23,3:08:00,18-Jul-23,8:09:00,301,301,On Time,0,,
69,4,295,WN7896,26-Oct-23,17:08:00,26-Oct-23,19:17:00,26-Oct-23,17:08:00,26-Oct-23,19:17:00,129,129,On Time,0,,
70,7,185,NK7071,5-Sep-23,22:34:00,6-Sep-23,2:59:00,5-Sep-23,22:34:00,6-Sep-23,2:59:00,265,265,On Time,0,,
71,10,14,G46436,18-Feb-23,16:40:00,19-Feb-23,0:56:00,18-Feb-23,16:40:00,19-Feb-23,0:56:00,496,496,On Time,0,,
72,15,456,UL6303,12-Aug-23,16:56:00,12-Aug-23,22:54:00,12-Aug-23,16:56:00,12-Aug-23,22:54:00,358,358,On Time,0,,
73,9,31,HA9267,26-Mar-23,15:15:00,27-Mar-23,0:30:00,26-Mar-23,15:15:00,27-Mar-23,0:30:00,555,555,On Time,0,,
74,7,192,NK6656,13-Jan-23,17:04:00,13-Jan-23,19:55:00,13-Jan-23,17:04:00,13-Jan-23,19:55:00,171,171,On Time,0,,
75,8,19,F96967,24-Jul-23,19:37:00,25-Jul-23,4:44:00,24-Jul-23,19:37:00,25-Jul-23,4:44:00,547,547,On Time,0,,
76,14,333,TZ4167,1-Apr-23,15:12:00,1-Apr-23,17:51:00,1-Apr-23,15:12:00,1-Apr-23,17:51:00,159,159,On Time,0,,
77,2,149,AA5975,16-Mar-23,4:23:00,16-Mar-23,13:18:00,16-Mar-23,4:23:00,16-Mar-23,13:18:00,535,535,On Time,0,,
78,2,368,AA5154,27-May-23,17:12:00,28-May-23,1:18:00,27-May-23,17:12:00,28-May-23,1:18:00,486,486,On Time,0,,
79,13,189,OI8218,8-May-23,2:29:00,8-May-23,10:57:00,8-May-23,2:29:00,8-May-23,10:57:00,508,508,On Time,0,,
80,6,248,AS1258,19-Feb-23,10:12:00,19-Feb-23,16:01:00,19-Feb-23,10:12:00,19-Feb-23,16:01:00,349,349,On Time,0,,
81,1,221,DL1986,3-Aug-23,13:24:00,3-Aug-23,19:37:00,3-Aug-23,13:24:00,3-Aug-23,19:37:00,373,373,On Time,0,,
82,7,187,NK4232,9-Aug-23,7:07:00,9-Aug-23,8:36:00,9-Aug-23,7:07:00,9-Aug-23,8:36:00,89,89,On Time,0,,
83,6,124,AS4656,6-Sep-23,13:23:00,6-Sep-23,19:23:00,6-Sep-23,13:23:00,6-Sep-23,19:23:00,360,360,On Time,0,,
84,3,144,UA7582,12-May-23,2:21:00,12-May-23,7:07:00,12-May-23,2:21:00,12-May-23,7:07:00,286,286,On Time,0,,
85,6,199,AS246,18-Nov-23,19:30:00,19-Nov-23,0:33:00,18-Nov-23,19:30:00,19-Nov-23,0:33:00,303,303,On Time,0,,
86,15,284,UL6721,29-Jan-23,9:51:00,29-Jan-23,19:32:00,29-Jan-23,9:51:00,29-Jan-23,19:32:00,581,581,On Time,0,,
87,3,27,UA4314,6-Jan-23,11:37:00,6-Jan-23,19:40:00,6-Jan-23,11:37:00,6-Jan-23,19:40:00,483,483,On Time,0,,
88,6,459,AS2484,21-Feb-23,22:40:00,22-Feb-23,7:15:00,21-Feb-23,22:40:00,22-Feb-23,7:15:00,515,515,On Time,0,,
89,1,163,DL2476,8-Apr-23,17:27:00,9-Apr-23,2:24:00,8-Apr-23,17:27:00,9-Apr-23,2:24:00,537,537,On Time,0,,
90,14,351,TZ971,10-Dec-23,5:31:00,10-Dec-23,12:15:00,10-Dec-23,5:31:00,10-Dec-23,12:15:00,404,404,On Time,0,,
91,12,230,EF8423,24-Jul-23,0:02:00,24-Jul-23,3:13:00,24-Jul-23,0:02:00,24-Jul-23,3:13:00,191,191,On Time,0,,
92,4,17,WN3687,13-Dec-23,17:21:00,13-Dec-23,18:33:00,13-Dec-23,17:21:00,13-Dec-23,18:33:00,72,72,On Time,0,,
93,3,418,UA2491,4-Jul-23,2:03:00,4-Jul-23,11:43:00,4-Jul-23,2:03:00,4-Jul-23,11:43:00,580,580,On Time,0,,
94,12,128,EF9055,14-Feb-23,4:08:00,14-Feb-23,5:14:00,14-Feb-23,4:08:00,14-Feb-23,5:14:00,66,66,On Time,0,,
95,4,334,WN1770,10-May-23,11:10:00,10-May-23,20:53:00,,,,,583,0,Diverted,179,,
96,4,236,WN534,20-Jan-23,12:21:00,20-Jan-23,17:47:00,20-Jan-23,12:21:00,20-Jan-23,17:47:00,326,326,On Time,0,,
97,6,38,AS3850,2-Jun-23,16:09:00,2-Jun-23,20:41:00,2-Jun-23,16:09:00,2-Jun-23,20:41:00,272,272,On Time,0,,
98,2,412,AA3938,29-May-23,5:57:00,29-May-23,13:15:00,29-May-23,5:57:00,29-May-23,13:15:00,438,438,On Time,0,,
99,10,358,G49845,24-Mar-23,19:06:00,25-Mar-23,0:56:00,,,,,350,0,Cancelled,0,,Operational
100,2,456,AA2253,1-Apr-23,19:16:00,1-Apr-23,23:17:00,,,,,241,0,Cancelled,0,,Technical
101,10,66,G44962,23-Apr-23,5:37:00,23-Apr-23,8:51:00,23-Apr-23,5:37:00,23-Apr-23,8:51:00,194,194,On Time,0,,
102,10,184,G46390,20-Sep-23,16:36:00,20-Sep-23,20:56:00,20-Sep-23,16:36:00,20-Sep-23,20:56:00,260,260,On Time,0,,
103,7,268,NK6937,10-Jan-23,11:16:00,10-Jan-23,12:45:00,10-Jan-23,11:16:00,10-Jan-23,12:45:00,89,89,On Time,0,,
104,7,353,NK9121,23-Jun-23,4:06:00,23-Jun-23,11:02:00,23-Jun-23,4:06:00,23-Jun-23,11:02:00,416,416,On Time,0,,
105,7,21,NK9084,16-May-23,0:50:00,16-May-23,7:49:00,,,,,419,0,Cancelled,0,,Technical
106,5,20,B62752,18-Nov-23,8:05:00,18-Nov-23,11:23:00,18-Nov-23,8:05:00,18-Nov-23,11:23:00,198,198,On Time,0,,
107,11,229,PY5757,8-Jun-23,14:28:00,8-Jun-23,16:32:00,8-Jun-23,14:28:00,8-Jun-23,16:32:00,124,124,On Time,0,,
108,2,146,AA8777,31-Aug-23,9:22:00,31-Aug-23,18:33:00,31-Aug-23,9:22:00,31-Aug-23,18:33:00,551,551,On Time,0,,
109,9,6,HA6839,16-Feb-23,21:53:00,17-Feb-23,3:38:00,17-Feb-23,0:12:00,17-Feb-23,5:57:00,345,484,Delayed,139,Airline Operations,
110,12,189,EF8302,10-Jul-23,22:41:00,11-Jul-23,8:13:00,10-Jul-23,22:41:00,11-Jul-23,8:13:00,572,572,On Time,0,,
111,4,131,WN5525,23-Jul-23,4:13:00,23-Jul-23,7:47:00,23-Jul-23,4:32:00,23-Jul-23,8:06:00,214,233,Delayed,19,Air Traffic Control,
112,12,312,EF8106,13-May-23,17:01:00,13-May-23,18:18:00,13-May-23,17:01:00,13-May-23,18:18:00,77,77,On Time,0,,
113,4,185,WN3722,28-Aug-23,6:16:00,28-Aug-23,9:23:00,28-Aug-23,7:29:00,28-Aug-23,10:36:00,187,260,Delayed,73,Weather,
114,8,119,F96827,19-Aug-23,18:15:00,19-Aug-23,22:29:00,19-Aug-23,19:19:00,19-Aug-23,23:33:00,254,318,Delayed,64,"Security, Weather",
115,8,350,F9691,27-Apr-23,8:30:00,27-Apr-23,16:53:00,,,,,503,0,Cancelled,0,,Weather
116,6,146,AS5876,3-Dec-23,3:41:00,3-Dec-23,13:23:00,3-Dec-23,3:41:00,3-Dec-23,13:23:00,582,582,On Time,0,,
117,2,289,AA3497,5-Feb-23,1:42:00,5-Feb-23,4:14:00,5-Feb-23,1:42:00,5-Feb-23,4:14:00,152,152,On Time,0,,
118,3,10,UA8205,9-Oct-23,18:56:00,9-Oct-23,19:44:00,9-Oct-23,18:56:00,9-Oct-23,19:44:00,48,48,On Time,0,,
119,5,30,B64718,5-Sep-23,19:28:00,6-Sep-23,3:39:00,5-Sep-23,19:28:00,6-Sep-23,3:39:00,491,491,On Time,0,,
120,6,347,AS5388,11-Oct-23,16:23:00,12-Oct-23,2:14:00,11-Oct-23,16:23:00,12-Oct-23,2:14:00,591,591,On Time,0,,
121,14,178,TZ9998,6-Feb-23,1:19:00,6-Feb-23,7:39:00,6-Feb-23,1:19:00,6-Feb-23,7:39:00,380,380,On Time,0,,
122,2,124,AA6454,22-Feb-23,16:16:00,23-Feb-23,1:28:00,22-Feb-23,16:16:00,23-Feb-23,1:28:00,552,552,On Time,0,,
123,12,14,EF1239,31-Oct-23,12:57:00,31-Oct-23,16:54:00,31-Oct-23,12:57:00,31-Oct-23,16:54:00,237,237,On Time,0,,
124,5,404,B66088,30-Sep-23,5:06:00,30-Sep-23,13:12:00,30-Sep-23,5:06:00,30-Sep-23,13:12:00,486,486,On Time,0,,
125,13,307,OI2316,8-Nov-23,22:45:00,9-Nov-23,0:12:00,8-Nov-23,22:45:00,9-Nov-23,0:12:00,87,87,On Time,0,,
126,2,207,AA8926,24-Apr-23,1:17:00,24-Apr-23,5:49:00,24-Apr-23,1:17:00,24-Apr-23,5:49:00,272,272,On Time,0,,
127,14,305,TZ8545,10-Aug-23,3:59:00,10-Aug-23,6:46:00,10-Aug-23,3:59:00,10-Aug-23,6:46:00,167,167,On Time,0,,
128,1,495,DL8828,17-Nov-23,3:40:00,17-Nov-23,7:39:00,,,,,239,0,Cancelled,0,,Technical
129,7,491,NK5663,6-Oct-23,10:45:00,6-Oct-23,20:29:00,6-Oct-23,13:43:00,6-Oct-23,23:27:00,584,762,Delayed,178,"Airline Operations, Technical, Weather, Security",
130,2,394,AA189,26-Dec-23,19:38:00,27-Dec-23,0:31:00,26-Dec-23,19:38:00,27-Dec-23,0:31:00,293,293,On Time,0,,
131,12,390,EF3212,6-Nov-23,7:53:00,6-Nov-23,10:53:00,6-Nov-23,7:53:00,6-Nov-23,10:53:00,180,180,On Time,0,,
132,12,221,EF1388,16-Nov-23,3:23:00,16-Nov-23,8:40:00,16-Nov-23,3:23:00,16-Nov-23,8:40:00,317,317,On Time,0,,
133,7,474,NK2952,24-Mar-23,0:43:00,24-Mar-23,7:07:00,24-Mar-23,0:43:00,24-Mar-23,7:07:00,384,384,On Time,0,,
134,6,325,AS2040,25-Jan-23,19:45:00,26-Jan-23,5:18:00,25-Jan-23,19:45:00,26-Jan-23,5:18:00,573,573,On Time,0,,
135,6,169,AS9006,24-Jul-23,12:44:00,24-Jul-23,19:11:00,24-Jul-23,12:44:00,24-Jul-23,19:11:00,387,387,On Time,0,,
136,14,309,TZ370,23-Sep-23,18:23:00,24-Sep-23,1:06:00,23-Sep-23,18:23:00,24-Sep-23,1:06:00,403,403,On Time,0,,
137,14,138,TZ695,12-Mar-23,14:15:00,12-Mar-23,23:23:00,12-Mar-23,14:15:00,12-Mar-23,23:23:00,548,548,On Time,0,,
138,15,197,UL5506,10-Jan-23,13:59:00,10-Jan-23,23:16:00,10-Jan-23,13:59:00,10-Jan-23,23:16:00,557,557,On Time,0,,
139,1,438,DL1467,25-Aug-23,23:19:00,26-Aug-23,2:19:00,25-Aug-23,23:41:00,26-Aug-23,2:41:00,180,202,Delayed,22,Technical,
140,1,401,DL1975,19-Nov-23,18:31:00,19-Nov-23,23:18:00,19-Nov-23,18:31:00,19-Nov-23,23:18:00,287,287,On Time,0,,
141,8,301,F93499,4-Aug-23,12:27:00,4-Aug-23,20:38:00,4-Aug-23,12:27:00,4-Aug-23,20:38:00,491,491,On Time,0,,
142,13,386,OI6555,1-Nov-23,6:14:00,1-Nov-23,9:16:00,1-Nov-23,6:14:00,1-Nov-23,9:16:00,182,182,On Time,0,,
143,8,57,F91372,17-Jul-23,10:46:00,17-Jul-23,16:08:00,17-Jul-23,10:46:00,17-Jul-23,16:08:00,322,322,On Time,0,,
144,8,260,F99893,13-Dec-23,14:45:00,13-Dec-23,23:37:00,13-Dec-23,14:45:00,13-Dec-23,23:37:00,532,532,On Time,0,,
145,4,89,WN8437,16-Jun-23,3:31:00,16-Jun-23,4:38:00,16-Jun-23,3:31:00,16-Jun-23,4:38:00,67,67,On Time,0,,
146,2,318,AA2670,26-Mar-23,21:57:00,26-Mar-23,23:34:00,,,,,97,0,Cancelled,0,,Technical
147,12,486,EF5547,24-Jun-23,15:22:00,24-Jun-23,16:41:00,,,,,79,0,Cancelled,0,,Operational
148,3,376,UA3635,26-Jan-23,17:36:00,26-Jan-23,18:38:00,26-Jan-23,17:36:00,26-Jan-23,18:38:00,62,62,On Time,0,,
149,11,37,PY3429,30-Oct-23,5:54:00,30-Oct-23,9:00:00,,,,,186,0,Cancelled,0,,Weather
150,1,221,DL9722,22-Aug-23,2:44:00,22-Aug-23,4:15:00,22-Aug-23,2:44:00,22-Aug-23,4:15:00,91,91,On Time,0,,
151,7,47,NK6125,29-Apr-23,19:07:00,29-Apr-23,21:16:00,,,,,129,0,Cancelled,0,,Weather
152,13,332,OI1074,13-Aug-23,13:23:00,13-Aug-23,18:25:00,,,,,302,0,Cancelled,0,,Operational
153,7,245,NK6002,20-Jun-23,21:51:00,21-Jun-23,6:52:00,21-Jun-23,0:54:00,21-Jun-23,9:55:00,541,724,Delayed,183,"Airline Operations, Airline Operations",
154,9,30,HA3041,15-Jun-23,17:39:00,15-Jun-23,23:08:00,15-Jun-23,17:39:00,15-Jun-23,23:08:00,329,329,On Time,0,,
155,11,351,PY6245,11-Mar-23,7:41:00,11-Mar-23,15:13:00,,,,,452,0,Cancelled,0,,Weather
156,11,395,PY1904,15-Mar-23,10:04:00,15-Mar-23,19:40:00,15-Mar-23,11:27:00,15-Mar-23,21:03:00,576,659,Delayed,83,"Weather, Weather, Air Traffic Control, Air Traffic Control",
157,15,465,UL8054,3-Apr-23,15:53:00,3-Apr-23,16:46:00,3-Apr-23,15:53:00,3-Apr-23,16:46:00,53,53,On Time,0,,
158,13,317,OI5317,4-Jan-23,14:02:00,4-Jan-23,22:17:00,4-Jan-23,14:02:00,4-Jan-23,22:17:00,495,495,On Time,0,,
159,9,6,HA2326,19-Dec-23,10:02:00,19-Dec-23,14:44:00,19-Dec-23,10:02:00,19-Dec-23,14:44:00,282,282,On Time,0,,
160,9,439,HA875,16-Nov-23,0:20:00,16-Nov-23,9:29:00,16-Nov-23,0:20:00,16-Nov-23,9:29:00,549,549,On Time,0,,
161,13,95,OI7843,18-Apr-23,11:03:00,18-Apr-23,17:26:00,,,,,383,0,Cancelled,0,,Technical
162,3,182,UA4376,9-Dec-23,9:46:00,9-Dec-23,16:56:00,9-Dec-23,9:46:00,9-Dec-23,16:56:00,430,430,On Time,0,,
163,15,58,UL1448,3-Jan-23,6:48:00,3-Jan-23,10:17:00,3-Jan-23,6:48:00,3-Jan-23,10:17:00,209,209,On Time,0,,
164,6,278,AS2680,27-Jul-23,6:29:00,27-Jul-23,11:37:00,27-Jul-23,6:29:00,27-Jul-23,11:37:00,308,308,On Time,0,,
165,3,329,UA7881,3-Dec-23,1:36:00,3-Dec-23,10:12:00,3-Dec-23,1:36:00,3-Dec-23,10:12:00,516,516,On Time,0,,
166,13,459,OI4102,3-Feb-23,2:04:00,3-Feb-23,6:42:00,3-Feb-23,2:04:00,3-Feb-23,6:42:00,278,278,On Time,0,,
167,1,250,DL6846,29-Aug-23,16:26:00,30-Aug-23,0:53:00,29-Aug-23,16:26:00,30-Aug-23,0:53:00,507,507,On Time,0,,
168,13,23,OI5000,26-Oct-23,1:51:00,26-Oct-23,5:16:00,26-Oct-23,1:51:00,26-Oct-23,5:16:00,205,205,On Time,0,,
169,12,314,EF946,2-Apr-23,23:55:00,3-Apr-23,1:53:00,2-Apr-23,23:55:00,3-Apr-23,1:53:00,118,118,On Time,0,,
170,13,250,OI5199,28-Jul-23,13:30:00,28-Jul-23,22:07:00,28-Jul-23,14:00:00,28-Jul-23,22:37:00,517,547,Delayed,30,"Air Traffic Control, Security, Air Traffic Control, Technical, Weather, Airline Operations, Airline Operations",
171,12,418,EF9571,11-Apr-23,20:53:00,11-Apr-23,21:39:00,11-Apr-23,23:00:00,11-Apr-23,23:46:00,46,173,Delayed,127,Technical,
172,8,245,F9741,19-Nov-23,16:14:00,20-Nov-23,0:13:00,19-Nov-23,16:57:00,20-Nov-23,0:56:00,479,522,Delayed,43,"Technical, Weather",
173,9,51,HA5794,15-Oct-23,5:03:00,15-Oct-23,7:49:00,15-Oct-23,5:03:00,15-Oct-23,7:49:00,166,166,On Time,0,,
174,14,58,TZ9874,21-Jun-23,21:14:00,21-Jun-23,22:43:00,21-Jun-23,21:14:00,21-Jun-23,22:43:00,89,89,On Time,0,,
175,15,85,UL4789,17-Oct-23,13:12:00,17-Oct-23,18:42:00,17-Oct-23,13:12:00,17-Oct-23,18:42:00,330,330,On Time,0,,
176,9,187,HA5744,25-Jun-23,13:19:00,25-Jun-23,18:31:00,25-Jun-23,13:19:00,25-Jun-23,18:31:00,312,312,On Time,0,,
